"gsis_id","PlayerName","PlayerPosition","season","FP","Targets","Reception","Receiving_TDs","WOPR","WR_Rank","n","All_time_n","Expected_FP","WOPR_Change_yty","NY_WR_Rank","TD_Change_yty"
"00-0033871","Corey Davis","WR",2020,193.4,92,65,5,0.456841006912743,"WR2",14,56,137.39386146217,NA,NA,NA
"00-0033891","Zay Jones","WR",2020,36.56,20,14,1,0.0739416994634099,"WR4+",11,69,20.5841409362757,NA,NA,NA
"00-0033908","Cooper Kupp","WR",2020,211.1,124,92,3,0.44147890247,"WR2",15,54,139.723958828451,NA,NA,NA
"00-0033911","Taywan Taylor","WR",2020,0,1,0,0,0.005323883576174,"WR4+",1,31,0.0768451675586178,NA,NA,NA
"00-0033921","Chris Godwin","WR",2020,191,84,65,7,0.300990479569511,"WR2",12,57,119.943620033539,NA,NA,NA
"00-0033932","Kenny Golladay","WR",2020,65.8,32,20,2,0.142411934582182,"WR4+",5,47,44.4097636919078,NA,NA,NA
"00-0033943","Josh Reynolds","WR",2020,126.3,81,52,2,0.355092090671986,"WR3",16,51,90.7922785440258,NA,NA,NA
"00-0034052","Brandon Zylstra","WR",2020,6.5,4,3,0,0.0195881064899459,"WR4+",5,11,7.25876905371464,NA,NA,NA
"00-0034054","River Cracraft","WR",2020,10.1,9,6,0,0.0329367184539598,"WR4+",3,4,7.90157463222075,NA,NA,NA
"00-0034081","Steven Mitchell","WR",2020,11,8,5,0,0.0359713322603177,"WR4+",3,5,10.3255218430919,NA,NA,NA
"00-0034104","Cam Sims","WR",2020,86.2,48,32,1,0.2092517326121,"WR2",11,13,51.9795055719558,NA,NA,NA
"00-0034132","Christian Blake","WR",2020,27.1,18,13,0,0.0627142917455511,"WR4+",7,13,17.5215881150789,NA,NA,NA
"00-0034207","Jeff Badet","WR",2020,0,1,0,0,0.00701985751663693,"WR4+",1,1,0.0621266943113941,NA,NA,NA
"00-0034267","Jaleel Scott","WR",2020,2.6,1,1,0,0.00491072126924755,"WR4+",1,2,2.76413323322866,NA,NA,NA
"00-0034272","Marquez Valdes-Scantling","WR",2020,139.3,63,33,6,0.367947936308633,"WR2",14,44,82.9369609050912,NA,NA,NA
"00-0034273","Damion Ratley","WR",2020,10.3,10,4,0,0.0446960688003033,"WR4+",5,19,6.81174087594078,NA,NA,NA
"00-0034279","Equanimeous St. Brown","WR",2020,25.4,13,7,1,0.0622269872604003,"WR4+",8,19,16.4125785746863,NA,NA,NA
"00-0034286","Richie James","WR",2020,68.1,35,23,1,0.155464190981432,"WR3",7,20,47.7620142926542,NA,NA,NA
"00-0034297","Byron Pringle","WR",2020,35,17,13,1,0.0627545619518097,"WR4+",5,11,24.2375013912742,NA,NA,NA
"00-0034309","Chad Beebe","WR",2020,52.1,30,20,2,0.111960925097654,"WR3",10,14,36.4146183021996,NA,NA,NA
"00-0034317","Keith Kirkwood","WR",2020,2.3,2,1,0,0.0105589876791643,"WR4+",1,8,1.5308105104116,NA,NA,NA
"00-0034348","Courtland Sutton","WR",2020,9.6,6,3,0,0.0300345601622643,"WR4+",1,33,7.14363502886486,NA,NA,NA
"00-0034353","Anthony Miller","WR",2020,110.7,76,49,2,0.281031432633075,"WR3",16,46,72.7520410287632,NA,NA,NA
"00-0034366","Keke Coutee","WR",2020,91,40,33,3,0.154949215805907,"WR4+",8,22,56.8444757613547,NA,NA,NA
