"PlayerName","season","week","WK3_FPpG","WK3_NOTDFPpG","RBOPR_3","WK3_Targets","DKSalary","XTD_Diff","NWFP","NW_DKValue","NW_DKSalary","LCBM_Pred","Model_Pred","Pred_Diff_Group","SQWK3_FPpG","SQWK3_NOTDFPpG"
"Chris Johnson",2013,17,17.1666666666667,13.1666666666667,0.200300991044567,2.33333333333333,NA,-3.05356992996813,NA,NA,NA,2.71025538464647,NA,"Nothing Special",4.14326763155202,3.62859017617954
"Chris Johnson",2014,1,20.1,14.1,0.371855913768008,5,5100,-1.05089476075171,3.1,0.525423728813559,5900,4.02868861080611,13.5444545777582,"Nothing Special",4.48330235429198,3.75499667110372
"Chris Johnson",2014,2,11.6,8.6,0.253413400062288,4,5900,-0.814082223804171,3.4,0.755555555555556,4500,3.2558049493486,9.94521235800791,"Nothing Special",3.40587727318528,2.93257565972304
"Chris Johnson",2014,3,8.86666666666667,6.86666666666667,0.210806580099519,3.33333333333333,4500,-1.09646830514671,14.1,2.82,5000,2.88427752557931,9.8955056521982,"Nothing Special",2.97769485788364,2.62043253427114
"Chris Johnson",2014,4,6.86666666666667,4.86666666666667,0.137269028270113,2.33333333333333,5000,-1.60950165687897,3.2,0.666666666666667,4800,2.37047627966264,8.21512332165942,"Nothing Special",2.62043253427114,2.20605228103657
"Chris Johnson",2014,5,6.9,4.9,0.116803691358287,1.66666666666667,4800,-1.97437074324892,2.1,0.552631578947368,3800,2.17822287004964,7.25234539647878,"Nothing Special",2.62678510731274,2.21359436211787
"Chris Johnson",2014,6,6.46666666666667,4.46666666666667,0.104974208355401,1.66666666666667,3800,-1.80803017985477,10,1.88679245283019,5300,2.11347298399741,8.42266012828522,"Nothing Special",2.54296414970142,2.11344899788631
"Chris Johnson",2014,7,5.1,5.1,0.121771297170899,2,5300,-0.76036191579149,4,1.21212121212121,3300,2.26070334351217,5.66263936854728,"Nothing Special",2.25831795812724,2.25831795812724
"Chris Johnson",2014,8,5.36666666666667,5.36666666666667,0.107397458461652,2.33333333333333,3300,-0.572475331587942,12.1,3.78125,3200,2.18042292029127,5.10134853659818,"Nothing Special",2.31660671385254,2.31660671385254
"Chris Johnson",2014,9,8.7,8.7,0.152562529089542,2.66666666666667,3200,-0.639885378640301,4.5,1.09756097560976,4100,2.50273029746783,8.17102028365959,"Nothing Special",2.94957624075053,2.94957624075053
