"FP","WOPR","LY2FP","LYFP","LY2Targets","LY2FPpTar","LY2TarShare","LY2Reception","LY2recyards","LY2airyards","LY2RACR","LY2FPpAY","LY2AYShare","LY2aDot","LY2TeamaDot","LY2aDotDiff","LY2GLTargets","LY2GLTarShare","LY2GLTDs","LY2RZTargets","LY2RZTarpTar","LY2RZTarpTeamTar","LY2RZTDs","LY2Rectd","LY2sumRecEPA","LY2sumRecWPA","LY2Rectdprob","LY2tdprobpRec","LY2sumRecep","LY2DeepTar","LY2DeepTarShare","LY2ShortTar","LY2ShortTarShare","LY2aggcpoe","LY2RZaggcpoe","LY2RecypTmAtt","LY2AYpTmAtt","LY2FPpTmAtt","LY2WOPR","LYTargets","LYFPpTar","LYTarShare","LYReception","LYrecyards","LYairyards","LYRACR","LYFPpAY","LYAYShare","LYaDot","LYTeamaDot","LYaDotDiff","LYGLTargets","LYGLTarShare","LYGLTDs","LYRZTargets","LYRZTarpTar","LYRZTarpTeamTar","LYRZTDs","LYRectd","LYsumRecEPA","LYsumRecWPA","LYRectdprob","LYtdprobpRec","LYsumRecep","LYDeepTar","LYDeepTarShare","LYShortTar","LYShortTarShare","LYaggcpoe","LYRZaggcpoe","LYRecypTmAtt","LYAYpTmAtt","LYFPpTmAtt","LYWOPR"
195,0.610769998336937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289.5,0.698495686260143,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,1.48854961832061,0.24952380952381,75,960,1451,0.661612680909717,0.134390075809786,0.337834691501746,11.0763358778626,32.7862595419847,-2844,6,0.214285714285714,2,14,0.106870229007634,0.0266666666666667,3,4,19.7497320601109,0.334613335129689,43.3174977041781,0.577566636055708,198.305802096293,1,0.0909090909090909,67,0.19364161849711,61.0963732004167,0,1.82857142857143,2.76380952380952,0.371428571428571,0.610769998336937
100.3,0.241600098591707,195,289.5,131,1.48854961832061,0.24952380952381,75,960,1451,0.661612680909717,0.134390075809786,0.337834691501746,11.0763358778626,32.7862595419847,-2844,6,0.214285714285714,2,14,0.106870229007634,0.0266666666666667,3,4,19.7497320601109,0.334613335129689,43.3174977041781,0.577566636055708,198.305802096293,1,0.0909090909090909,67,0.19364161849711,61.0963732004167,0,1.82857142857143,2.76380952380952,0.371428571428571,0.610769998336937,194,1.49226804123711,0.314935064935065,106,1355,2061,0.657447840853954,0.140465793304221,0.322990126939351,10.6237113402062,32.8917525773196,-4320,10,0.344827586206897,4,17,0.0876288659793814,0.0275974025974026,4,8,10.3736930815355,1.90531934760656,60.3225540672429,0.569080698747574,323.173658686719,0,0,94,0.271676300578035,-619.866138696671,0,2.19967532467532,3.34577922077922,0.469967532467532,0.698495686260143
159.9,0.406847649842122,289.5,100.3,194,1.49226804123711,0.314935064935065,106,1355,2061,0.657447840853954,0.140465793304221,0.322990126939351,10.6237113402062,32.8917525773196,-4320,10,0.344827586206897,4,17,0.0876288659793814,0.0275974025974026,4,8,10.3736930815355,1.90531934760656,60.3225540672429,0.569080698747574,323.173658686719,0,0,94,0.271676300578035,-619.866138696671,0,2.19967532467532,3.34577922077922,0.469967532467532,0.698495686260143,58,1.72931034482759,0.101045296167247,38,503,600,0.838333333333333,0.167166666666667,0.128617363344051,10.3448275862069,80.4310344827586,-4065,3,0.1,1,7,0.120689655172414,0.0121951219512195,2,2,22.6876534313842,0.686984975938685,19.6642624344677,0.517480590380728,105.102491004567,0,0,29,0.0759162303664921,425.895589590073,0,0.876306620209059,1.04529616724739,0.174738675958188,0.241600098591707
58.3,0.141411730638455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64.9,0.144895356965857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106.5,0.26394803320101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192.7,0.510564076373227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151.2,0.338790474884556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30.5,0.101086471029742,NA,151.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,1.68,0.14827018121911,51,702,827,0.848851269649335,0.182829504232164,0.166264575794129,9.18888888888889,55.2666666666667,-4147,12,0.25,5,15,0.166666666666667,0.0247116968698517,5,5,25.6773981528846,0.777160753495991,32.2754650590941,0.632852256060669,187.355436954531,2,0.142857142857143,56,0.135922330097087,-222.330856323241,0,1.15650741350906,1.36243822075783,0.249093904448105,0.338790474884556
