"PlayerName","season","week","WK3_FPpG","WK3_NOTDFPpG","WK3_WOPR","WK3_Targets","DKSalary","XTD_Diff","NWFP","NW_DKValue","NW_DKSalary","WK3_Predicted_FPpG_TE","Pred_Diff","Pred_Diff_Group","SQWK3_FPpG","SQWK3_NOTDFPpG"
"Niles Paul",2014,13,2.83333333333333,2.83333333333333,0.127124746450304,2.66666666666667,3200,-0.706542254114345,1.7,0.566666666666667,3000,1.90374053275194,-0.790894682709291,"carry on",1.68325082306035,1.68325082306035
"Niles Paul",2014,14,1.83333333333333,1.83333333333333,0.0549099707758539,1.33333333333333,3000,-0.26168314212126,2.7,0.9,3000,1.50432163720623,-0.429650254833504,"carry on",1.35400640077266,1.35400640077266
"Niles Paul",2014,15,2.03333333333333,2.03333333333333,0.0424596990987543,1,3000,-0.506996524725291,3.9,1.3,3000,1.55587156713757,-0.387403000093798,"carry on",1.42594997574716,1.42594997574716
"Niles Paul",2016,2,1.3,1.3,0.034178870292887,0.5,2500,0.0908418783025414,2.1,0.84,2500,1.3055903189574,-0.404566080955278,"carry on",1.14017542509914,1.14017542509914
"Niles Paul",2017,7,1.36666666666667,1.36666666666667,0.0455220589941748,0.666666666666667,2500,-0.240330171403304,3.6,1.44,2500,1.46603804317068,-0.782600877357057,"carry on",1.16904519445001,1.16904519445001
"Niles Paul",2017,11,2.56666666666667,2.56666666666667,0.0619138323776608,1,2500,-0.138827819353892,4.6,1.84,2500,1.48098568279352,0.373348074027267,"carry on",1.60208197875972,1.60208197875972
"Niles Paul",2017,12,4.13333333333333,4.13333333333333,0.155755414826247,2.66666666666667,2500,-0.684012294634101,4.2,1.68,2500,1.98771930874263,0.182305282985067,"carry on",2.03306009093025,2.03306009093025
"Niles Paul",2017,13,4.13333333333333,4.13333333333333,0.181289870481345,3.33333333333333,2500,-0.863282135156458,2.5,1,2500,2.20315604014272,-0.720563203884006,"carry on",2.03306009093025,2.03306009093025
"Niles Paul",2017,14,3.76666666666667,3.76666666666667,0.180916827651021,3,2500,-1.03740010060433,2.1,0.84,2500,2.26706165908887,-1.37290189944412,"Keep an Eye On",1.94079021706795,1.94079021706795
"Niles Paul",2017,15,2.93333333333333,2.93333333333333,0.109515433326195,1.66666666666667,2500,-0.464954335508784,0,0,2500,1.82255820563558,-0.388385079596241,"carry on",1.71269767715535,1.71269767715535
